0  1.24993 0.0018226  0.875472  182.256
0.251  -1.3083  -0.645089  -99.65  -132.376
0.252  -1.39996  -0.774821  -83.8992  -127.066
0.253  -1.47654  -0.899194  -69.4653  -121.675
0.254  -1.53927  -1.01817  -56.1722  -116.292
0.255  -1.58921  -1.1318  -43.8658  -110.975
0.256  -1.62728  -1.24016  -32.4103  -105.76
0.257  -1.65427  -1.34336  -21.6862  -100.665
0.258  -1.67086  -1.44153  -11.5878  -95.6964
0.259001  -1.67763  -1.53488  -2.01223  -90.8469
0.260001  -1.67505  -1.62336  7.10432  -86.1151
0.261001  -1.66355  -1.70715  15.8451  -81.4796
0.262001  -1.64346  -1.78634  24.275  -76.9189
0.263001  -1.61508  -1.861  32.4505  -72.4073
0.264001  -1.57863  -1.93116  40.4208  -67.9152
0.265001  -1.53429  -1.99683  48.2267  -63.4095
0.266001  -1.48222  -2.05796  55.9012  -58.8536
0.267001  -1.42253  -2.1145  63.4678  -54.2075
0.268001  -1.35532  -2.16633  70.9402  -49.4279
0.269001  -1.28068  -2.2133  78.3198  -44.4683
0.270001  -1.19871  -2.25519  85.5941  -39.2795
0.271001  -1.10953  -2.29177  92.734  -33.8104
0.272001  -1.0133  -2.3227  99.6911  -28.0094
0.273001  -0.910236  -2.34766  106.395  -21.8263
0.274001  -0.800629  -2.36622  112.751  -15.2157
0.275001  -0.68489  -2.37793  118.638  -8.14074
0.276001  -0.563557  -2.38233  123.913  -0.577942
0.277001  -0.437322  -2.37892  128.412  7.47729
0.278001  -0.307051  -2.36722  131.958  16.0058
0.279001  -0.173783  -2.34677  134.375  24.9615
0.280001  -0.0387303  -2.31718  135.505  34.2706
0.281001  0.0967548  -2.27814  135.222  43.8355
0.282001  0.231216  -2.22946  133.448  53.5428
0.283001  0.363149  -2.17105  130.168  63.2752
0.284001  0.491063  -2.10294  125.423  72.9249
0.285001  0.613538  -2.02526  119.31  82.4049
0.286001  0.729271  -1.93821  111.961  91.6567
0.287001  0.837099  -1.84203  103.525  100.651
0.288001  0.936004  -1.73699  94.1397  109.382
